periodid,periodname,periodcode,perioddescription,BCG Wastage Rate,Total BCG doses stocked,Total BCG doses used,Total BCG doses wasted
201901,January 2019,201901,,,,,
201902,February 2019,201902,,,,,
201903,March 2019,201903,,,,,
201904,April 2019,201904,,,,,
201905,May 2019,201905,,,,,
201906,June 2019,201906,,,,,
201907,July 2019,201907,,,,,
201908,August 2019,201908,,,,,
201909,September 2019,201909,,,,,
201910,October 2019,201910,,,,,
201911,November 2019,201911,,,,,
201912,December 2019,201912,,,,,
201801,January 2018,201801,,75.0,120.0,60.0,45.0
201802,February 2018,201802,,80.0,140.0,60.0,48.0
201803,March 2018,201803,,95.0,260.0,180.0,171.0
201804,April 2018,201804,,90.0,160.0,160.0,144.0
201805,May 2018,201805,,71.7,160.0,60.0,43.0
201806,June 2018,201806,,92.5,160.0,160.0,148.0
201807,July 2018,201807,,88.0,140.0,100.0,88.0
201808,August 2018,201808,,,,,
201809,September 2018,201809,,,,,
201810,October 2018,201810,,,,,
201811,November 2018,201811,,,,,
201812,December 2018,201812,,,,,
201701,January 2017,201701,,85.0,140.0,120.0,102.0
201702,February 2017,201702,,115.0,80.0,-20.0,-23.0
201703,March 2017,201703,,55.0,140.0,60.0,33.0
201704,April 2017,201704,,86.0,140.0,100.0,86.0
201705,May 2017,201705,,85.0,140.0,80.0,68.0
201706,June 2017,201706,,60.0,140.0,20.0,12.0
201707,July 2017,201707,,78.8,80.0,80.0,63.0
201708,August 2017,201708,,80.0,100.0,80.0,64.0
201709,September 2017,201709,,75.0,140.0,80.0,60.0
201710,October 2017,201710,,75.5,150.0,110.0,83.0
201711,November 2017,201711,,91.9,260.0,160.0,147.0
201712,December 2017,201712,,25.0,140.0,20.0,5.0
201601,January 2016,201601,,,,,
201602,February 2016,201602,,,,,
201603,March 2016,201603,,,,,
201604,April 2016,201604,,,,,
201605,May 2016,201605,,,,,
201606,June 2016,201606,,,,,
201607,July 2016,201607,,,,,
201608,August 2016,201608,,,,,
201609,September 2016,201609,,,,,
201610,October 2016,201610,,,,,
201611,November 2016,201611,,,,,
201612,December 2016,201612,,,,,
201501,January 2015,201501,,,,,
201502,February 2015,201502,,,,,
201503,March 2015,201503,,,,,
201504,April 2015,201504,,,,,
201505,May 2015,201505,,,,,
201506,June 2015,201506,,,,,
201507,July 2015,201507,,,,,
201508,August 2015,201508,,,,,
201509,September 2015,201509,,,,,
201510,October 2015,201510,,,,,
201511,November 2015,201511,,,,,
201512,December 2015,201512,,,,,
201401,January 2014,201401,,,,,
201402,February 2014,201402,,,,,
201403,March 2014,201403,,,,,
201404,April 2014,201404,,,,,
201405,May 2014,201405,,,,,
201406,June 2014,201406,,,,,
201407,July 2014,201407,,,,,
201408,August 2014,201408,,,,,
201409,September 2014,201409,,,,,
201410,October 2014,201410,,,,,
201411,November 2014,201411,,,,,
201412,December 2014,201412,,,,,
